Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33121000-4, Sistema de registo ambulatório de longa duração";Centro Hospitalar do Oeste (510412009);COVIDIEN (503413410);"360,00 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141641-5, Sondas";Centro Hospitalar do Oeste (510412009);TELEFLEX MEDICAL (980249783);"67,10 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);"PULMOCOR, LDA. (501402578)";"312,00 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141220-8, Cânulas";Centro Hospitalar do Oeste (510412009);"MUNDITER, SA. (500199906)";"170,00 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141641-5, Sondas";Centro Hospitalar do Oeste (510412009);OVERPHARMA (505792362);"128,00 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);P.M.H. (502376899);"215,00 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);Abbott Laboratórios (500006148);"219,16 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"219,16 €";;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141600-6, Tubos e sacos de drenagem e respectivos kits";Centro Hospitalar do Oeste (510412009);Maquet Portugal (506819698);"288,00 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"288,00 €";;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);Air Liquide Medicinal (501576436);"48,99 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"48,99 €";;;;Não aplicável.;Não aplicável.;false
Maetrial Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141122-1, Agrafos cirúrgicos";Centro Hospitalar do Oeste (510412009);COVIDIEN (503413410);"1.355,00 €";05-11-2015;23-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";23-05-2014;"1.355,00 €";;;;Não aplicável.;Não aplicável.;false
